Pool;N Pole;N Hemi;S Hemi;S Pole;Plains;Crater;C_Floor;C_Peak;C_Ejecta;LRM_blue;LRM_Klima;Pits;Tectonics;C_Walls;HP 180;HP 0;Infill ;Putative
TOT;0.03;0.68;0.3;0;0.11;0.89;0.51;0.34;0.18;0.75;0.4;0.12;0.26;0.57;0.29;0.48;0.19;0.58
N Pole;;0;0;;1.38;0.95;0.75;1.13;1.67;0.82;0.58;0;0.6;0.94;2.11;0.32;0.82;1.2
N Hemi;0;;0;;1.26;0.97;0.96;0.98;0.81;0.91;0.85;0.75;1;0.99;1.08;0.95;0.8;1
S Hemi;0;0;;;0.38;1.08;1.13;1.04;1.38;1.22;1.38;1.66;1.05;1.04;0.73;1.19;1.48;0.98
Plains;1.38;1.26;0.38;;;0;0;0;0;0.85;0.9;0.98;1.76;0;2.27;0.31;0;1.4
Crater;0.95;0.97;1.08;;0;;1.13;1.13;1.11;1.02;1.02;1;0.91;1.13;0.84;1.09;1.13;0.95
C_Floor;0.75;0.96;1.13;;0;1.13;;1.34;1.03;1.01;0.91;1.39;0.81;0.95;0.82;1.08;1.32;0.68
C_Peak;1.13;0.98;1.04;;0;1.13;1.34;;1;0.96;0.91;0.64;0.48;0.9;0.85;0.97;1.22;0.68
C_Ejecta;1.67;0.81;1.38;;0.1;1.11;1.03;1;;1.04;1.22;0.99;0.97;1.58;0.94;1.01;0.73;0.9
LRM_blue;0.82;0.91;1.22;;0.85;1.02;1.01;0.96;1.04;;1.28;0.84;0.98;1.05;0.92;1.07;0.92;0.98
LRM_Klima;0.58;0.85;1.38;;0.9;1.02;0.91;0.91;1.22;1.28;;0.77;1.06;1.18;1.11;1.03;0.87;1.05
Facula;0;0.75;1.66;;0.98;1;1.39;0.64;0.99;0.84;0.77;;1.34;0.95;0.81;1.05;1.85;0.69
Tectonics;0.6;1;1.05;;1.76;0.91;0.81;0.48;0.97;0.98;1.06;1.34;;0.82;0.86;1.06;1.53;1.12
C_Walls;0.94;0.99;1.04;;0;1.13;0.95;0.9;1.58;1.05;1.18;0.95;0.82;;0.9;1.09;0.78;1.01
HP 180;2.11;1.08;0.73;;2.27;0.84;0.82;0.85;0.94;0.92;1.11;0.81;0.86;0.9;;0;0.96;1.01
HP 0;0.32;0.95;1.19;;0.31;1.09;1.08;0.97;1.01;1.07;1.03;1.05;1.06;1.09;0;;0.79;1.01
Infill;0.82;0.8;1.48;;0;1.13;1.32;1.22;0.73;0.92;0.87;1.85;1.53;0.78;0.96;0.79;;0.66
Putative;1.2;1;0.98;;1.4;0.95;0.68;0.68;0.9;0.98;1.05;0.69;1.12;1.01;1.01;1.01;0.66;
